ID	Super_compound_class	Lipid_Category	Compound_type	Main_Class	Common_name	Abbreviation	Chemical_formula	DB_links	SMILES	Synonyms	Systematic_name
CPD1F-95	-	-	Gibberellins	-	gibberellin A12	-	(C 20);(H 26);(O 4)	(ZINC ZINC000004102240 NIL |kothari| 3853420568 NIL NIL); (SEED cpd08655 NIL |kothari| 3788273831 NIL NIL); (METANETX MNXM2523 NIL |kothari| 3787514189 NIL NIL); (PUBCHEM 25244528 NIL |kothari| 3651883220 NIL NIL); (CHEBI 58627 NIL |taltman| 3498180761 NIL NIL); (LIPID_MAPS LMPR0104170014 NIL |kothari| 3594492032 NIL NIL); (LIGAND-CPD C11857 NIL |kothari| 3455894892 NIL NIL)	C=C1([C@H]2(C[C@]3(C1)([C@H]([C@@H]4([C@@](C)(CCC[C@@](C)([C@@H](CC2)3)4)C([O-])=O))C([O-])=O)))	C20-GAs; C20-GAs; open lactone gibberrellin skeleton; C20 skeleton; C20-GA skeleton; C20-gibberellin skeleton; GA12; GA12	['-']
Red-NADPH-Hemoprotein-Reductases	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
CPD-695	-	-	Gibberellins	-	gibberellin A53	-	(C 20);(H 26);(O 5)	(ZINC ZINC000004097024 NIL |kothari| 3853423264 NIL NIL); (SEED cpd03634 NIL |kothari| 3788273829 NIL NIL); (METANETX MNXM3606 NIL |kothari| 3787514193 NIL NIL); (CHEBI 143954 NIL |kothari| 3780943053 NIL NIL); (HMDB HMDB36895 NIL |kothari| 3608602944 NIL NIL); (PUBCHEM 25203620 NIL |taltman| 3466375284 NIL NIL); (LIGAND-CPD C06094 NIL |kr| 3410284649 NIL NIL)	C=C1([C@@]2(O)(C[C@]3(C1)([C@H]([C@@H]4([C@@](C)(CCC[C@@](C)([C@@H](CC2)3)4)C([O-])=O))C([O-])=O)))	GA53; GA53	['-']
Ox-NADPH-Hemoprotein-Reductases	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
Alkanes	SUPER	-	Hydrocarbons	-	alkane	-	['-']	(SEED cpd11855 NIL |kothari| 3788273833 NIL NIL); (METANETX MNXM162290 NIL |kothari| 3787514189 NIL NIL); (LIGAND-CPD C01371 NIL |kothari| 3498919808 NIL NIL); (CHEBI 18310 NIL |dreher| 3427579103 NIL NIL)	C[R]	paraffin	['-']
Very-Long-Chain-Alkanes	Alkanes	-	Alkanes	-	very long-chain alkane	-	['-']	-	C(CCCCCCCCCCCCCCCCCCCCCC)[R]	['-']	['-']
Secondary-Alcohols	SUPER	-	Alcohols	-	secondary alcohol	-	['-']	(METANETX MNXM1502 NIL |kothari| 3787514190 NIL NIL); (CHEBI 35681 NIL |caspi| 3546021653 NIL NIL); (LIGAND-CPD C00432 NIL |taltman| 3466371734 NIL NIL)	C([R1])C(O)C[R2]	['-']	['-']
CPD-16679	-	-	Diterpenes	-	9&beta-stemod-13(17)-en-19-ol	-	(C 20);(H 32);(O 1)	(METANETX MNXM147892 NIL |kothari| 3787514191 NIL NIL); (PUBCHEM 90657801 NIL |kothari| 3641818092 NIL NIL)	C=C1(CC[C@@]23([C@H](C[C@H]1C2)CC[C@H]4([C@@](C)(CO)CCC[C@]34C)))	syn-stemoden-19-ol; syn-stemod-13(17)-en-19-ol	['-']
CPD-16680	-	-	Diterpenes	-	9&beta-stemod-13(17)-en-19-al	-	(C 20);(H 30);(O 1)	(METANETX MNXM147891 NIL |kothari| 3787514192 NIL NIL); (PUBCHEM 90658121 NIL |kothari| 3641818092 NIL NIL)	C=C1(CC[C@@]23([C@H](C[C@H]1C2)CC[C@H]4([C@@](C)(C=O)CCC[C@]34C)))	syn-stemoden-19-al; syn-stemod-13(17)-en-19-al	['-']
CPD-4186	-	-	3-Beta-Hydroxysterols; Delta7-Steroids; Triterpenes	-	lathosterol	-	(C 27);(H 46);(O 1)	(REACTOME-CPD 6807054 NIL |kothari| 3788282686 NIL NIL); (SEED cpd00877 NIL |kothari| 3788273833 NIL NIL); (METANETX MNXM810 NIL |kothari| 3787514191 NIL NIL); (REFMET Lathosterol NIL |midford| 3697479617 NIL NIL); (CHEBI 17168 NIL |kothari| 3641835422 NIL NIL); (PUBCHEM 65728 NIL |kothari| 3641818093 NIL NIL); (HMDB HMDB01170 NIL |kothari| 3608601635 NIL NIL); (LIGAND-CPD C01189 NIL |taltman| 3459474373 NIL NIL); (CAS 80-99-9)	CC(C)CCC[C@H]([C@@H]4([C@]1(C)([C@H](C2([C@H](CC1)[C@]3(C)([C@@H](CC=2)C[C@@H](O)CC3)))CC4)))C	cholesta-7-en-3&beta-ol; 5&alpha-cholest-7-en-3&beta-ol; &alpha-cholest-7-en-3&beta-ol; cholesta-7-enol; &Delta7-cholesten-3-&beta-ol; &gamma-cholesterol	['-']
